Date,Platform,Topic,Category,Package,CurrentStatus,RequiredAction
2026-01-05,Instagram,Compounding,Wealth Building,2026-01-05-01-compounding,Draft,"Review package, mark Ready, then mark Approved before scheduling for publishing."
2026-01-05,YouTube,Compounding,Wealth Building,2026-01-05-01-compounding,Draft,"Review package, mark Ready, then mark Approved before scheduling for publishing."
2026-01-06,Instagram,Rule of 72,Wealth Building,2026-01-06-02-rule-of-72,Draft,"Review package, mark Ready, then mark Approved before scheduling for publishing."
2026-01-06,YouTube,Rule of 72,Wealth Building,2026-01-06-02-rule-of-72,Draft,"Review package, mark Ready, then mark Approved before scheduling for publishing."
2026-01-07,Instagram,SIP,Wealth Building,2026-01-07-03-sip,Draft,"Review package, mark Ready, then mark Approved before scheduling for publishing."
2026-01-07,YouTube,SIP,Wealth Building,2026-01-07-03-sip,Draft,"Review package, mark Ready, then mark Approved before scheduling for publishing."
2026-01-08,Instagram,Inflation,Wealth Building,2026-01-08-04-inflation,Draft,"Review package, mark Ready, then mark Approved before scheduling for publishing."
2026-01-08,YouTube,Inflation,Wealth Building,2026-01-08-04-inflation,Draft,"Review package, mark Ready, then mark Approved before scheduling for publishing."
2026-01-09,Instagram,Financial Freedom,Wealth Building,2026-01-09-05-financial-freedom,Draft,"Review package, mark Ready, then mark Approved before scheduling for publishing."
2026-01-09,YouTube,Financial Freedom,Wealth Building,2026-01-09-05-financial-freedom,Draft,"Review package, mark Ready, then mark Approved before scheduling for publishing."
2026-01-10,Instagram,Equity,Stock Market Basics,2026-01-10-06-equity,Draft,"Review package, mark Ready, then mark Approved before scheduling for publishing."
2026-01-10,YouTube,Equity,Stock Market Basics,2026-01-10-06-equity,Draft,"Review package, mark Ready, then mark Approved before scheduling for publishing."
2026-01-11,Instagram,Market Capitalization,Stock Market Basics,2026-01-11-07-market-capitalization,Draft,"Review package, mark Ready, then mark Approved before scheduling for publishing."
2026-01-11,YouTube,Market Capitalization,Stock Market Basics,2026-01-11-07-market-capitalization,Draft,"Review package, mark Ready, then mark Approved before scheduling for publishing."
2026-01-12,Instagram,Dividend,Stock Market Basics,2026-01-12-08-dividend,Draft,"Review package, mark Ready, then mark Approved before scheduling for publishing."
2026-01-12,YouTube,Dividend,Stock Market Basics,2026-01-12-08-dividend,Draft,"Review package, mark Ready, then mark Approved before scheduling for publishing."
2026-01-13,Instagram,Bonus Shares,Stock Market Basics,2026-01-13-09-bonus-shares,Draft,"Review package, mark Ready, then mark Approved before scheduling for publishing."
2026-01-13,YouTube,Bonus Shares,Stock Market Basics,2026-01-13-09-bonus-shares,Draft,"Review package, mark Ready, then mark Approved before scheduling for publishing."
2026-01-14,Instagram,Stock Split,Stock Market Basics,2026-01-14-10-stock-split,Draft,"Review package, mark Ready, then mark Approved before scheduling for publishing."
2026-01-14,YouTube,Stock Split,Stock Market Basics,2026-01-14-10-stock-split,Draft,"Review package, mark Ready, then mark Approved before scheduling for publishing."
2026-01-15,Instagram,Intraday Trading,Trading Basics,2026-01-15-11-intraday-trading,Draft,"Review package, mark Ready, then mark Approved before scheduling for publishing."
2026-01-15,YouTube,Intraday Trading,Trading Basics,2026-01-15-11-intraday-trading,Draft,"Review package, mark Ready, then mark Approved before scheduling for publishing."
2026-01-16,Instagram,Delivery Trading,Trading Basics,2026-01-16-12-delivery-trading,Draft,"Review package, mark Ready, then mark Approved before scheduling for publishing."
2026-01-16,YouTube,Delivery Trading,Trading Basics,2026-01-16-12-delivery-trading,Draft,"Review package, mark Ready, then mark Approved before scheduling for publishing."
2026-01-17,Instagram,Swing Trading,Trading Basics,2026-01-17-13-swing-trading,Draft,"Review package, mark Ready, then mark Approved before scheduling for publishing."
2026-01-17,YouTube,Swing Trading,Trading Basics,2026-01-17-13-swing-trading,Draft,"Review package, mark Ready, then mark Approved before scheduling for publishing."
2026-01-18,Instagram,Position Trading,Trading Basics,2026-01-18-14-position-trading,Draft,"Review package, mark Ready, then mark Approved before scheduling for publishing."
2026-01-18,YouTube,Position Trading,Trading Basics,2026-01-18-14-position-trading,Draft,"Review package, mark Ready, then mark Approved before scheduling for publishing."
2026-01-19,Instagram,Risk Management,Trading Basics,2026-01-19-15-risk-management,Draft,"Review package, mark Ready, then mark Approved before scheduling for publishing."
2026-01-19,YouTube,Risk Management,Trading Basics,2026-01-19-15-risk-management,Draft,"Review package, mark Ready, then mark Approved before scheduling for publishing."
2026-01-20,Instagram,GTT Orders,Trading Platform Features,2026-01-20-16-gtt-orders,Draft,"Review package, mark Ready, then mark Approved before scheduling for publishing."
2026-01-20,YouTube,GTT Orders,Trading Platform Features,2026-01-20-16-gtt-orders,Draft,"Review package, mark Ready, then mark Approved before scheduling for publishing."
2026-01-21,Instagram,Stop Loss,Trading Platform Features,2026-01-21-17-stop-loss,Draft,"Review package, mark Ready, then mark Approved before scheduling for publishing."
2026-01-21,YouTube,Stop Loss,Trading Platform Features,2026-01-21-17-stop-loss,Draft,"Review package, mark Ready, then mark Approved before scheduling for publishing."
2026-01-22,Instagram,Trailing Stop Loss,Trading Platform Features,2026-01-22-18-trailing-stop-loss,Draft,"Review package, mark Ready, then mark Approved before scheduling for publishing."
2026-01-22,YouTube,Trailing Stop Loss,Trading Platform Features,2026-01-22-18-trailing-stop-loss,Draft,"Review package, mark Ready, then mark Approved before scheduling for publishing."
2026-01-23,Instagram,Limit Order,Trading Platform Features,2026-01-23-19-limit-order,Draft,"Review package, mark Ready, then mark Approved before scheduling for publishing."
2026-01-23,YouTube,Limit Order,Trading Platform Features,2026-01-23-19-limit-order,Draft,"Review package, mark Ready, then mark Approved before scheduling for publishing."
2026-01-24,Instagram,Market Order,Trading Platform Features,2026-01-24-20-market-order,Draft,"Review package, mark Ready, then mark Approved before scheduling for publishing."
2026-01-24,YouTube,Market Order,Trading Platform Features,2026-01-24-20-market-order,Draft,"Review package, mark Ready, then mark Approved before scheduling for publishing."
2026-01-25,Instagram,Bracket Order,Trading Platform Features,2026-01-25-21-bracket-order,Draft,"Review package, mark Ready, then mark Approved before scheduling for publishing."
2026-01-25,YouTube,Bracket Order,Trading Platform Features,2026-01-25-21-bracket-order,Draft,"Review package, mark Ready, then mark Approved before scheduling for publishing."
2026-01-26,Instagram,Cover Order,Trading Platform Features,2026-01-26-22-cover-order,Draft,"Review package, mark Ready, then mark Approved before scheduling for publishing."
2026-01-26,YouTube,Cover Order,Trading Platform Features,2026-01-26-22-cover-order,Draft,"Review package, mark Ready, then mark Approved before scheduling for publishing."
2026-01-27,Instagram,PE Ratio,Investor Terminology,2026-01-27-23-pe-ratio,Draft,"Review package, mark Ready, then mark Approved before scheduling for publishing."
2026-01-27,YouTube,PE Ratio,Investor Terminology,2026-01-27-23-pe-ratio,Draft,"Review package, mark Ready, then mark Approved before scheduling for publishing."
2026-01-28,Instagram,PB Ratio,Investor Terminology,2026-01-28-24-pb-ratio,Draft,"Review package, mark Ready, then mark Approved before scheduling for publishing."
2026-01-28,YouTube,PB Ratio,Investor Terminology,2026-01-28-24-pb-ratio,Draft,"Review package, mark Ready, then mark Approved before scheduling for publishing."
2026-01-29,Instagram,ROE,Investor Terminology,2026-01-29-25-roe,Draft,"Review package, mark Ready, then mark Approved before scheduling for publishing."
2026-01-29,YouTube,ROE,Investor Terminology,2026-01-29-25-roe,Draft,"Review package, mark Ready, then mark Approved before scheduling for publishing."
2026-01-30,Instagram,ROCE,Investor Terminology,2026-01-30-26-roce,Draft,"Review package, mark Ready, then mark Approved before scheduling for publishing."
2026-01-30,YouTube,ROCE,Investor Terminology,2026-01-30-26-roce,Draft,"Review package, mark Ready, then mark Approved before scheduling for publishing."
2026-01-31,Instagram,EPS,Investor Terminology,2026-01-31-27-eps,Draft,"Review package, mark Ready, then mark Approved before scheduling for publishing."
2026-01-31,YouTube,EPS,Investor Terminology,2026-01-31-27-eps,Draft,"Review package, mark Ready, then mark Approved before scheduling for publishing."
2026-02-01,Instagram,CAGR,Investor Terminology,2026-02-01-28-cagr,Draft,"Review package, mark Ready, then mark Approved before scheduling for publishing."
2026-02-01,YouTube,CAGR,Investor Terminology,2026-02-01-28-cagr,Draft,"Review package, mark Ready, then mark Approved before scheduling for publishing."
2026-02-02,Instagram,XIRR,Investor Terminology,2026-02-02-29-xirr,Draft,"Review package, mark Ready, then mark Approved before scheduling for publishing."
2026-02-02,YouTube,XIRR,Investor Terminology,2026-02-02-29-xirr,Draft,"Review package, mark Ready, then mark Approved before scheduling for publishing."
2026-02-03,Instagram,ETF,Investor Terminology,2026-02-03-30-etf,Draft,"Review package, mark Ready, then mark Approved before scheduling for publishing."
2026-02-03,YouTube,ETF,Investor Terminology,2026-02-03-30-etf,Draft,"Review package, mark Ready, then mark Approved before scheduling for publishing."
2026-02-04,Instagram,IPO,Investor Terminology,2026-02-04-31-ipo,Draft,"Review package, mark Ready, then mark Approved before scheduling for publishing."
2026-02-04,YouTube,IPO,Investor Terminology,2026-02-04-31-ipo,Draft,"Review package, mark Ready, then mark Approved before scheduling for publishing."
2026-02-05,Instagram,FOMO,Behavioral Finance,2026-02-05-32-fomo,Draft,"Review package, mark Ready, then mark Approved before scheduling for publishing."
2026-02-05,YouTube,FOMO,Behavioral Finance,2026-02-05-32-fomo,Draft,"Review package, mark Ready, then mark Approved before scheduling for publishing."
2026-02-06,Instagram,Panic Selling,Behavioral Finance,2026-02-06-33-panic-selling,Draft,"Review package, mark Ready, then mark Approved before scheduling for publishing."
2026-02-06,YouTube,Panic Selling,Behavioral Finance,2026-02-06-33-panic-selling,Draft,"Review package, mark Ready, then mark Approved before scheduling for publishing."
2026-02-07,Instagram,Greed,Behavioral Finance,2026-02-07-34-greed,Draft,"Review package, mark Ready, then mark Approved before scheduling for publishing."
2026-02-07,YouTube,Greed,Behavioral Finance,2026-02-07-34-greed,Draft,"Review package, mark Ready, then mark Approved before scheduling for publishing."
2026-02-08,Instagram,Confirmation Bias,Behavioral Finance,2026-02-08-35-confirmation-bias,Draft,"Review package, mark Ready, then mark Approved before scheduling for publishing."
2026-02-08,YouTube,Confirmation Bias,Behavioral Finance,2026-02-08-35-confirmation-bias,Draft,"Review package, mark Ready, then mark Approved before scheduling for publishing."
2026-02-09,Instagram,Overtrading,Behavioral Finance,2026-02-09-36-overtrading,Draft,"Review package, mark Ready, then mark Approved before scheduling for publishing."
2026-02-09,YouTube,Overtrading,Behavioral Finance,2026-02-09-36-overtrading,Draft,"Review package, mark Ready, then mark Approved before scheduling for publishing."
